strategy,steps,schedule,temperature,top_k,distinct_1,js_1,distinct_2,js_2,distinct_3,js_3,repetition_4,exact_copy_fraction,copied_32gram_fraction,sample_count,generated_characters
ancestral,4,linear,1.0,0,0.4140625,0.4201883155284871,1.0,0.9614441734369606,1.0,0.9986306203653785,0.0,0.0,0.0,4,128
ancestral,8,linear,1.0,0,0.40625,0.3164874088862561,0.9919354838709677,0.9311810475302345,1.0,0.9974115719944084,0.0,0.0,0.0,4,128
random,4,linear,1.0,0,0.375,0.3451488438384878,0.967741935483871,0.9533916886613221,1.0,0.9992018963005704,0.0,0.0,0.0,4,128
random,8,linear,1.0,0,0.3984375,0.3661022856592583,0.9838709677419355,0.955321197856583,1.0,0.9991357310551163,0.0,0.0,0.0,4,128
confidence,4,linear,1.0,0,0.3671875,0.352111200357346,0.9758064516129032,0.932862885608235,1.0,0.9994571007736253,0.0,0.0,0.0,4,128
confidence,8,linear,1.0,0,0.3203125,0.41867078756185633,0.9193548387096774,0.90656930303436,0.9916666666666667,0.9993084338918478,0.0,0.0,0.0,4,128
ancestral,16,cosine,1.0,0,0.4140625,0.26055068456043584,0.9758064516129032,0.9301589217996513,1.0,0.9980540373650939,0.0,0.0,0.0,4,128
ancestral,16,log,1.0,0,0.390625,0.2967126313674148,0.9758064516129032,0.9245473006402776,1.0,0.9981531292871275,0.0,0.0,0.0,4,128
confidence,16,linear,0.0,0,0.0234375,0.6753591119871116,0.04032258064516129,0.9671888840501202,0.058333333333333334,1.0,0.6551724137931034,0.0,0.0,4,128
confidence,16,linear,0.7,0,0.25,0.40419463490848784,0.7419354838709677,0.8720262475570439,0.975,0.9966521409176234,0.0,0.0,0.0,4,128
confidence,16,linear,1.0,5,0.0703125,0.6554467620599376,0.16129032258064516,0.9524042336732008,0.24166666666666667,0.9961529500151525,0.39655172413793105,0.0,0.0,4,128
