strategy,steps,schedule,temperature,top_k,distinct_1,js_1,distinct_2,js_2,distinct_3,js_3,repetition_4,exact_copy_fraction,copied_32gram_fraction,sample_count,generated_characters
ancestral,4,linear,1.0,0,0.0146484375,0.010290900687886082,0.2359744094488189,0.26354851366158966,0.7544642857142857,0.6461886906298746,0.0007500000000000007,0.0,0.0,32,4096
ancestral,8,linear,1.0,0,0.0146484375,0.009256148689779267,0.22883858267716536,0.24291430657669896,0.7180059523809523,0.6144571237992908,0.0007500000000000007,0.0,0.0,32,4096
ancestral,16,linear,1.0,0,0.015380859375,0.00901708436240903,0.2263779527559055,0.24829295162378148,0.716765873015873,0.6203172213481146,0.0012500000000000011,0.0,0.0,32,4096
ancestral,32,linear,1.0,0,0.01513671875,0.011776665106974313,0.23006889763779528,0.24412541075880634,0.7085813492063492,0.6149625162436874,0.0030000000000000027,0.0,0.0,32,4096
ancestral,64,linear,1.0,0,0.0146484375,0.010405185340878975,0.2357283464566929,0.23886847517371582,0.7090773809523809,0.6177016514078976,0.0027500000000000024,0.0,0.0,32,4096
random,4,linear,1.0,0,0.014404296875,0.008994558904099545,0.2357283464566929,0.2548868630943535,0.7584325396825397,0.6474230726559822,0.0017500000000000016,0.0,0.0,32,4096
random,8,linear,1.0,0,0.014404296875,0.009659792847910985,0.23031496062992127,0.24527439989233618,0.7256944444444444,0.6260254611263276,0.002250000000000002,0.0,0.0,32,4096
random,16,linear,1.0,0,0.0146484375,0.00989738397908111,0.22539370078740156,0.23468574589635735,0.7056051587301587,0.607062504086651,0.002250000000000002,0.0,0.0,32,4096
random,32,linear,1.0,0,0.014404296875,0.011592979980047342,0.23474409448818898,0.247410266063794,0.7108134920634921,0.6131262098180473,0.002250000000000002,0.0,0.0,32,4096
random,64,linear,1.0,0,0.014404296875,0.010001762430217656,0.21604330708661418,0.2323055623276066,0.6865079365079365,0.6068498436351734,0.0012500000000000011,0.0,0.0,32,4096
confidence,4,linear,1.0,0,0.011962890625,0.11401209959271646,0.09645669291338582,0.3492908926909999,0.34499007936507936,0.6272629148670827,0.023750000000000018,0.0,0.0,32,4096
confidence,8,linear,1.0,0,0.009521484375,0.1653214381304869,0.0718503937007874,0.40920326794192874,0.24131944444444445,0.6554489366597125,0.07174999999999998,0.0,0.0,32,4096
confidence,16,linear,1.0,0,0.0087890625,0.23208421510623456,0.05290354330708662,0.484275814887909,0.16493055555555555,0.6980533742791943,0.16499999999999998,0.0,0.0,32,4096
confidence,32,linear,1.0,0,0.007568359375,0.25969421287066385,0.04010826771653543,0.5100953766585129,0.12946428571428573,0.7165661457837186,0.21375,0.0,0.0,32,4096
confidence,64,linear,1.0,0,0.0078125,0.2811144581229802,0.03469488188976378,0.5469019953640772,0.10689484126984126,0.7445651752789988,0.25825,0.0,0.0,32,4096
ancestral,16,cosine,1.0,0,0.01513671875,0.00976467695928638,0.2298228346456693,0.2523905416150666,0.7132936507936508,0.6221986216869959,0.0020000000000000018,0.0,0.0,32,4096
ancestral,16,log,1.0,0,0.014892578125,0.0106681418278735,0.23228346456692914,0.25444992637288455,0.7204861111111112,0.6424357899049703,0.0027500000000000024,0.0,0.0,32,4096
confidence,16,linear,0.0,0,0.001953125,0.42652066151791557,0.005905511811023622,0.7804516299892763,0.011408730158730158,0.9335286974123485,0.44799999999999995,0.0,0.0,32,4096
confidence,16,linear,0.7,0,0.007080078125,0.261125394212096,0.04133858267716536,0.5162589299837682,0.1388888888888889,0.7238381880165852,0.1975,0.0,0.0,32,4096
confidence,16,linear,1.0,5,0.004150390625,0.29744527464858284,0.027559055118110236,0.5583403883920461,0.10267857142857142,0.7500006739256092,0.22574999999999998,0.0,0.0,32,4096
