kind,name,steps,strategy,median_ms,p10_ms,p90_ms,tokens_per_second,timings_ms,compilation_seconds,peak_process_rss_mib,compiled_temp_bytes,compiled_argument_bytes,compiled_output_bytes,memory_note,backend,devices,length,batch,extrapolates_training_length
ar,ar_s0,64,cached_causal,1.9095840107183903,1.8946840078569949,1.9643829960841686,33515.152850448845,"[1.9910830014850944, 1.9095840107183903, 1.9243329879827797, 1.8997089937329292, 1.8913340172730386]",0.25026050000451505,240.84375,126336,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,4,ancestral,2.677457989193499,2.6692170125897974,2.8396670008078218,23903.26954085207,"[2.9426669934764504, 2.672667003935203, 2.666917018359527, 2.677457989193499, 2.6851670118048787]",0.2637230829859618,238.75,410352,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,8,ancestral,5.368334008380771,5.2998997969552875,5.504099786048755,11921.761928390903,"[5.582082987530157, 5.273582995869219, 5.33937499858439, 5.368334008380771, 5.387124983826652]",0.27522504099761136,240.21875,410352,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,16,ancestral,10.15424999059178,9.911274816840887,10.593424795661122,6302.779630134963,"[10.787957988213748, 10.301625006832182, 10.15424999059178, 9.977000008802861, 9.867458022199571]",0.2675967910035979,242.328125,410352,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,32,ancestral,19.584958004998043,18.97359980503097,20.70386601262726,3267.814002137116,"[21.34141602437012, 18.912833009380847, 19.06474999850616, 19.74754099501297, 19.584958004998043]",0.2658464999985881,239.734375,410416,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,64,ancestral,40.0308340031188,39.01520001236349,41.579533397452906,1598.767589878686,"[42.063667002366856, 40.85333299008198, 39.39912500209175, 38.75925001921132, 40.0308340031188]",0.25637479199212976,242.78125,410544,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,4,confidence,2.941167011158541,2.8146002208814025,3.0372170032933354,21760.069984869737,"[3.0881669954396784, 2.960792015073821, 2.941167011158541, 2.8081670170649886, 2.8242500266060233]",0.2556136670173146,241.765625,410416,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,8,confidence,5.544249986996874,5.510966607835144,5.656900000758469,11543.491031266893,"[5.68050000583753, 5.530291993636638, 5.544249986996874, 5.621499993139878, 5.498083017300814]",0.25483770898426883,240.96875,410416,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,16,confidence,10.625499999150634,10.297533206176013,10.96786679700017,6023.245965377248,"[11.083749996032566, 10.794041998451576, 10.625499999150634, 10.35270799184218, 10.260750015731901]",0.2513130830193404,240.578125,410416,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,32,confidence,20.911375002469867,20.729857811238617,21.796825004275888,3060.5352346481704,"[22.12062501348555, 20.766333007486537, 21.311124990461394, 20.705541013740003, 20.911375002469867]",0.25398433301597834,238.9375,410480,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
mdlm,mdlm_s0,64,confidence,44.94329102453776,41.67759139672853,45.96261699916795,1424.0167673759765,"[46.01866699522361, 45.878542005084455, 44.94329102453776, 41.819042002316564, 41.583290993003175]",0.27881350001553074,228.65625,410608,945284,256,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],64,1,False
ar,ar_s0,128,cached_causal,4.739958007121459,4.716091608861461,4.792908002855256,27004.458648724074,"[4.822957998840138, 4.739958007121459, 4.724166996311396, 4.747833008877933, 4.710708017228171]",0.24432120798155665,237.0,250368,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,4,ancestral,5.038624978624284,4.907233006088063,5.379117000848055,25403.756092787906,"[5.396666994784027, 5.352792009944096, 5.038624978624284, 4.966332984622568, 4.867833020398393]",0.26406387498718686,242.828125,1139440,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,8,ancestral,10.823166987393051,10.102274792734534,11.206650192616507,11826.482964653125,"[11.031875008484349, 11.323166982037947, 10.823166987393051, 10.221250005997717, 10.022957983892411]",0.288711000001058,244.734375,1139440,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,16,ancestral,18.44304200494662,18.19248401443474,19.415741186821833,6940.286746929766,"[19.84195798286237, 18.77641599276103, 18.251209025038406, 18.44304200494662, 18.15333400736563]",0.268511458998546,243.078125,1139440,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,32,ancestral,36.84762501507066,35.93305819667876,37.926366593455896,3473.765268389701,"[38.643416977720335, 36.384458013344556, 36.85079101705924, 36.84762501507066, 35.632124985568225]",0.25689237500773743,241.40625,1139504,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,64,ancestral,73.45995801733807,72.63713339925744,76.21974959620275,1742.4458637696112,"[77.41641599568538, 72.72533400100656, 74.42474999697879, 72.57833299809135, 73.45995801733807]",0.2746329999936279,242.390625,1139632,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,4,confidence,5.508959002327174,5.177625210490078,5.590525415027514,23234.879756035287,"[5.636709014652297, 5.52125001559034, 5.508959002327174, 5.390750011429191, 5.0355420098640025]",0.25692695801262744,239.6875,1139504,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,8,confidence,10.615667008096352,10.022100392961875,11.113000399200246,12057.650254324764,"[10.95424999948591, 10.615667008096352, 10.180375014897436, 9.916583978338167, 11.218833999009803]",0.2582344170077704,244.046875,1139504,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,16,confidence,20.15600001323037,19.8668495984748,21.070924802916124,6350.46635820505,"[21.670207992428914, 19.85866599716246, 20.15600001323037, 19.87912500044331, 20.17200001864694]",0.25923420902108774,241.65625,1139504,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,32,confidence,39.70545800984837,38.59084980213083,40.57418321026489,3223.7381563071613,"[41.06600000523031, 38.69250000570901, 39.70545800984837, 39.83645801781677, 38.523082999745384]",0.26188754101167433,241.6875,1139568,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
mdlm,mdlm_s0,64,confidence,78.9214999822434,76.34516719263047,79.01120841270313,1621.8647647193577,"[75.53283398738131, 78.93545902334154, 77.56366700050421, 78.9214999822434, 79.06170800561085]",0.2665097920107655,243.375,1139696,945284,512,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,1,False
ar,ar_s0,128,cached_causal,52.79816599795595,52.40387479425408,56.536933401366696,38789.226127272814,"[55.543583002872765, 52.636624983279034, 52.79816599795595, 52.248708001570776, 57.19916700036265]",0.2581939999945462,252.078125,3993400,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,4,ancestral,47.851249983068556,47.111749614123255,49.98810019460507,42799.29992893925,"[46.71541601419449, 49.68612498487346, 50.18941700109281, 47.851249983068556, 47.706250014016405]",0.2988530839793384,275.1875,13550320,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,8,ancestral,92.7167919871863,92.56447518710047,93.3618750073947,22088.771150354714,"[92.66299998853356, 92.49879198614508, 93.49512500921264, 92.7167919871863, 93.16200000466779]",0.2838214999937918,276.734375,13550320,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,16,ancestral,187.37800000235438,186.75691640237346,189.43820800632238,10929.778308949115,"[189.002833008999, 189.72845800453797, 187.37800000235438, 186.88179200398736, 186.67366600129753]",0.3268688330135774,276.640625,13550320,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,32,ancestral,405.5542499991134,371.94597480702214,423.3211913960986,5049.879270170334,"[371.682958008023, 372.3405000055209, 405.5542499991134, 435.15537498751655, 405.56991600897163]",0.28198220799095,282.46875,13550384,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
